date,total_cases,new_cases,total_deaths,stringency_index,Kia,SK Hynix Inc,LG Corporation,Hyundai Motor Company,Posco Holdings Inc,Samsung Electronics,Kakao
2020-01-06,0.0,0.0,0.0,0.0,41900.0,94300.0,78434.640625,116000.0,231000.0,55500.0,30900.0
2020-01-07,0.0,0.0,0.0,0.0,42050.0,94000.0,79531.6328125,115500.0,232000.0,55800.0,32000.0
2020-01-08,0.0,0.0,0.0,0.0,41300.0,97400.0,78215.2421875,112000.0,228000.0,56800.0,31900.0
2020-01-09,0.0,0.0,0.0,0.0,40750.0,99000.0,78105.546875,111500.0,234000.0,58600.0,32800.0
2020-01-10,0.0,0.0,0.0,0.0,40400.0,98900.0,76898.859375,113500.0,237500.0,59500.0,33000.0
2020-01-13,0.0,0.0,0.0,0.0,40450.0,100500.0,78763.7421875,115000.0,238500.0,60000.0,33400.0
2020-01-14,0.0,0.0,0.0,0.0,41150.0,100500.0,80189.8203125,116000.0,242000.0,60000.0,33400.0
2020-01-15,0.0,0.0,0.0,0.0,41200.0,98200.0,80409.21875,115000.0,242000.0,59000.0,34000.0
2020-01-16,0.0,0.0,0.0,0.0,41150.0,99200.0,80518.921875,118500.0,241500.0,60700.0,34300.0
2020-01-17,0.0,0.0,0.0,0.0,41400.0,99000.0,79860.7265625,118500.0,241500.0,61300.0,33700.0
2020-01-20,1.0,0.0,0.0,0.0,41600.0,99900.0,80848.015625,118000.0,247000.0,62400.0,33700.0
2020-01-21,1.0,0.0,0.0,0.0,41600.0,99300.0,81067.4140625,117000.0,244000.0,61400.0,33000.0
2020-01-22,1.0,0.0,0.0,0.0,42600.0,101000.0,81396.5078125,127000.0,241500.0,62300.0,33200.0
2020-01-23,1.0,0.0,0.0,0.0,43400.0,98700.0,80628.6171875,130500.0,240500.0,60800.0,33100.0
2020-01-28,3.0,0.0,0.0,0.0,42700.0,96300.0,78873.4375,131000.0,226000.0,58800.0,32500.0
2020-01-29,3.0,0.0,0.0,0.0,42550.0,97900.0,78873.4375,131000.0,226500.0,59100.0,32700.0
2020-01-30,3.0,0.0,0.0,0.0,41950.0,94000.0,79970.421875,127500.0,224500.0,57200.0,32400.0
2020-01-31,3.0,0.0,0.0,2.78,40900.0,93500.0,77118.2578125,125000.0,221000.0,56400.0,31800.0
2020-02-03,15.0,0.0,0.0,23.15,40100.0,94700.0,76569.765625,123500.0,214500.0,57200.0,31900.0
2020-02-04,15.0,0.0,0.0,31.48,40250.0,97100.0,78434.640625,124000.0,214000.0,58900.0,32900.0
2020-02-05,15.0,0.0,0.0,31.48,39400.0,97700.0,79202.53125,124000.0,214500.0,59500.0,32600.0
2020-02-06,15.0,0.0,0.0,31.48,41300.0,100500.0,81396.5078125,132000.0,224000.0,61100.0,33200.0
2020-02-07,15.0,0.0,0.0,31.48,40500.0,99300.0,81286.8125,131000.0,223000.0,60400.0,33500.0
2020-02-10,27.0,0.0,0.0,31.48,40650.0,98800.0,81396.5078125,130000.0,220500.0,59700.0,33800.0
2020-02-11,27.0,0.0,0.0,31.48,41350.0,99800.0,82932.2890625,132500.0,222000.0,59900.0,34000.0
2020-02-12,27.0,0.0,0.0,31.48,41650.0,100000.0,87868.7421875,136000.0,222000.0,60500.0,34400.0
2020-02-13,27.0,0.0,0.0,31.48,41250.0,102000.0,86662.0546875,133000.0,221000.0,60700.0,35800.0
2020-02-14,27.0,0.0,0.0,31.48,41650.0,104500.0,84358.375,133500.0,219500.0,61800.0,36000.0
